waypoint1	waypoint2	distance_m	duration_s
Bear Creek Road California	Magnolia Dr Colorado	2002538	413168
Townes Pass West California	Hwy 21-245-180-198 California	256559	84660
Mt Graham Arizona	Daylight Pass Rd California	1108723	200761
Bear Creek Road California	Hwy 153 Utah	1065531	212337
Mt Washington Auto Rd New Hampshire	Mosquito Ridge Rd East California	5230166	995579
Grand Mesa South Colorado	Hwy 38-Valley of Falls California	1288259	251471
Wheeler Peak Nevada	Glacier Lodge Rd California	534387	103930
Hwy 198 California	Wildrose California	354896	79801
Palomar Mt California	Empire Pass Utah	1212135	239187
Mt Shasta California	Sandia Crest Hwy New Mexico	1973439	374897
Sonora Pass West California	Townes Pass East California	423038	84886
Beartooth Pass North Montana	Hwy 153 Utah	1140888	225887
Clingman's Dome Tennessee	Beasore Rd California	4267511	814412
Grand Mesa South Colorado	South Lake California	1301439	255700
Lone Pine-Table Mountain California	Hwy 39-Dawson's Saddle California	95756	22664
Big Cottonwood Canyon Utah	Hwy 39-Dawson's Saddle California	1222960	239487
Hwy 82 New Mexico	Mt Equinox Vermont	3747180	694811
Hwy 31 West Utah	Tollhouse Rd California	1079559	222470
Mineral King Rd California	Burke Mt Vermont	5344132	998197
Little Cottonwood Canyon Utah	Mt Evans Colorado	773497	162653
Gibraltar Road Santa Barbara California	Whiteface Mt New York	5054673	943756
N4/Table Mt California	Hwy 31 West Utah	1030189	198413
Wheeler Peak Nevada	Elkhorn Summit Oregon	902630	170473
Elkhorn Summit Oregon	Sandia Crest Hwy New Mexico	1935119	369422
Mt Shasta California	Cottonwood Pass Colorado	1928343	384483
Monitor Pass East California	Mt Evans Colorado	1598165	318306
Hwy 39-Crystal Lake Rd California	White Mountain California	448378	83601
Emigrant Pass East California	Sonora Pass West California	423038	84886
Beasore Rd California	Mt Rose California	354640	89340
Breckenridge Rd East California	Whitney Portal California	206874	41338
Sonora Pass West California	Kolob Terrace Rd Utah	779223	156502
Monitor Pass East California	Mt Baldy California	641244	128961
Mt Equinox Vermont	Kolob Terrace Rd Utah	4373786	818649
Little Cottonwood Canyon Utah	Hwy 39-Dawson's Saddle California	1216993	239178
Beartooth Pass North Montana	Hwy 14 West Wyoming	191974	38310
Palomar Mt California	Hwy 21-Whittaker Forest California	555039	112784
Hwy 18 North California	Mt Harrision Idaho	1140885	206158
Parks Creek East California	Sandia Crest Hwy New Mexico	1998270	374665
Bear Creek Road California	Pikes Peak Colorado	1910028	374622
Mineral King Rd California	Hwy 38-Valley of Falls California	464170	94938
Mt Washington Auto Rd New Hampshire	Breckenridge Rd East California	5204922	985834
Mt Spokane Washington	Elkhorn Summit Oregon	467366	92132
Mt Rose California	Hwy 180 West California	518487	113017
Monitor Pass East California	Kolob Terrace Rd Utah	754880	153277
South Lake California	Mt Auscutney Vermont	4875874	917121
Pikes Peak Colorado	Nine Mile Rd California	1672929	327552
Mt Washington Auto Rd New Hampshire	Lone Pine-Table Mountain California	5104803	962638
Powder Mountain Utah	Hwy 18-Waterman Canyon California	1235848	238223
Hwy 198 California	Hwy 180 West California	99100	21272
Magnolia Dr Colorado	Mission Ridge Washington	2043686	395008
Mt Spokane Washington	Mt Auscutney Vermont	4704046	887463
Slumgullion Pass West Colorado	Mt Auscutney Vermont	3761439	711630
Powder Mountain Utah	Mission Ridge Washington	1276644	242482
Mosquito Ridge Rd East California	Gibraltar Road Santa Barbara California	766220	160147
Grand Mesa South Colorado	Burke Mt Vermont	3897369	747309
Hwy 156-158 Nevada	Breckenridge Rd East California	540726	104838
N4/Table Mt California	Tollhouse Rd California	442398	88911
Monitor Pass East California	Hwy 157-158 Nevada	571055	110376
Clingman's Dome Tennessee	Guanella Pass Colorado	2490580	485015
Kolob Terrace Rd Utah	Mt Lemmon Arizona	875072	171366
Bear Creek Road California	Hwy 168 California	179416	33915
Clingman's Dome Tennessee	Mission Ridge Washington	4345050	828489
Mineral King Rd California	Hwy 198 California	2655	705
Cottonwood Pass Colorado	Mt Spokane Washington	1804625	350651
Wheeler Peak Nevada	Mt Harrision Idaho	439623	82442
Mt Harrision Idaho	White Mountain California	914910	167284
Shirley Meadows California	Glacier Lodge Rd California	265357	52195
Horseshoe Meadows Rd California	Mt Rose California	410797	83124
Mt Lemmon Arizona	White Mountain California	1127277	200784
Guardsman Pass Utah	Balch Park Rd California	1367524	264457
Shirley Meadows California	Hwy 180 West California	200498	46315
N4/Table Mt California	Elkhorn Summit Oregon	1388806	257361
Mt Ashland Oregon	Hwy 21-Whittaker Forest California	1007674	199133
Trail Ridge Rd Colorado	Mt Rose California	1588173	320398
Sherman Pass West California	Slumgullion Pass West Colorado	1482076	300797
Hwy 156-158 Nevada	Hwy 21-Whittaker Forest California	733604	141376
Empire Pass Utah	Breckenridge Rd East California	1200680	235387
East Portal Colorado	Hwy 14 West Wyoming	897741	182785
Bear Creek Road California	Nate Harrison Grade California	518437	107577
East Portal Colorado	Pikes Peak Colorado	378902	88843
Sherman Pass West California	Nine Mile Rd California	131883	27562
Hwy 38-Valley of Falls California	Breckenridge Rd East California	283588	63099
Hwy 168 California	Nine Mile Rd California	407012	80960
Trail Ridge Rd Colorado	Mt Ashland Oregon	1991838	391358
Burke Mt Vermont	Hwy 21-Whittaker Forest California	5342091	997127
Hwy 157 Mt Charleston Nevada	Hwy 39-Dawson's Saddle California	540899	104460
Mt Hood Oregon	White Mountain California	1197416	222248
Little Cottonwood Canyon Utah	Mt Ashland Oregon	1237287	236503
Mt Spokane Washington	Daylight Pass Rd California	1586233	302981
Townes Pass West California	Hwy 143 Utah	549028	106657
Slumgullion Pass West Colorado	Hurricane Ridge Washington	2311098	470557
Mt Graham Arizona	Pine Creek Rd California	1332170	241063
Hwy 190 California	Horseshoe Meadows Rd California	305309	66643
Hurricane Ridge Washington	Breckenridge Rd East California	2008579	394738
Mt Equinox Vermont	Lone Pine-Table Mountain California	4839925	907386
Independence Pass Colorado	Sandia Crest Hwy New Mexico	608708	122401
Wheeler Peak Nevada	Hwy 157-158 Nevada	399121	70937
Slumgullion Pass West Colorado	Mt Spokane Washington	1942318	383367
Hwy 168 California	White Mountain California	262886	87023
Hurricane Ridge Washington	Tollhouse Rd California	1752687	342739
Mt Shasta California	Parks Creek East California	21564	4359
East Portal Colorado	Wheeler Peak Nevada	798810	167488
Hwy 156-Lee Canyon Nevada	White Mountain California	344412	66824
Mt Washington Auto Rd New Hampshire	Powder Mountain Utah	4197648	788045
Slumgullion Pass West Colorado	Gibraltar Road Santa Barbara California	1544672	311556
Wolf Creek Pass Colorado	Clingman's Dome Tennessee	2613480	505891
Guardsman Pass Utah	Magnolia Dr Colorado	672622	152206
Slumgullion Pass West Colorado	Mt Lemmon Arizona	1034568	221633
Mt Hood Oregon	Independence Pass Colorado	1935942	378810
Rock Creek California	Big Cottonwood Canyon Utah	890117	167779
Mt Washington Auto Rd New Hampshire	Wolf Creek Pass Colorado	3873313	736080
Monitor Pass East California	Hurricane Ridge Washington	1400089	275833
